sample_id,patches_path,expr_path
MEND153,patches/MEND153.h5,adata/MEND153.h5ad
MEND152,patches/MEND152.h5,adata/MEND152.h5ad
MEND151,patches/MEND151.h5,adata/MEND151.h5ad
MEND150,patches/MEND150.h5,adata/MEND150.h5ad
MEND149,patches/MEND149.h5,adata/MEND149.h5ad
MEND148,patches/MEND148.h5,adata/MEND148.h5ad
MEND147,patches/MEND147.h5,adata/MEND147.h5ad
MEND146,patches/MEND146.h5,adata/MEND146.h5ad
MEND145,patches/MEND145.h5,adata/MEND145.h5ad
MEND144,patches/MEND144.h5,adata/MEND144.h5ad
MEND143,patches/MEND143.h5,adata/MEND143.h5ad
MEND142,patches/MEND142.h5,adata/MEND142.h5ad
MEND141,patches/MEND141.h5,adata/MEND141.h5ad
MEND140,patches/MEND140.h5,adata/MEND140.h5ad
MEND139,patches/MEND139.h5,adata/MEND139.h5ad
