Unnamed: 0,sample_id,organ,oncotree_code,disease_state,st_technology,oncotree_code_filled
0,NCBI883,Lung,,Healthy,Xenium,Healthy
1,SPA114,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
2,NCBI638,Brain,EPM,Cancer,Visium,EPM
3,NCBI759,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
4,NCBI818,Uterus,,Diseased,Visium,Diseased_Unspecified
5,NCBI682,Lymph node,LYMPH_IDC,Cancer,Visium,LYMPH_IDC
6,SPA1,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
7,NCBI464,Skin,,Diseased,Visium,Diseased_Unspecified
8,SPA142,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
9,NCBI567,Kidney,,Diseased,Visium,Diseased_Unspecified
10,MEND2,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
11,SPA87,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
12,MISC3,Brain,,Healthy,Visium,Healthy
13,NCBI486,Skin,,Diseased,Visium,Diseased_Unspecified
14,MEND34,Bowel,,Healthy,Visium,Healthy
15,MEND36,Bowel,,Healthy,Visium,Healthy
17,NCBI466,Skin,,Diseased,Visium,Diseased_Unspecified
18,NCBI761,Skin,CSCC,Cancer,Spatial Transcriptomics,CSCC
19,MISC4,Brain,,Healthy,Visium,Healthy
20,SPA131,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
21,MISC8,Brain,,Healthy,Visium,Healthy
22,MISC110,Heart,,Healthy,Visium,Healthy
23,TENX94,Breast,ILC,Cancer,Xenium,ILC
24,NCBI811,Uterus,,Healthy,Visium,Healthy
25,MISC34,Bowel,COAD,Cancer,Visium,COAD
26,NCBI815,Uterus,,Diseased,Visium,Diseased_Unspecified
27,NCBI517,Skin,,Diseased,Visium,Diseased_Unspecified
28,NCBI491,Skin,,Diseased,Visium,Diseased_Unspecified
29,MISC32,Lung,,Treated,Visium,Treated_Unspecified
30,INT15,Kidney,CCRCC,Cancer,Visium,CCRCC
31,MISC47,Bowel,COAD,Cancer,Visium,COAD
32,NCBI467,Skin,,Diseased,Visium,Diseased_Unspecified
33,NCBI631,Brain,EPM,Cancer,Visium,EPM
34,SPA40,Heart,,Healthy,Spatial Transcriptomics,Healthy
35,TENX31,Brain,GBM,Cancer,Visium,GBM
36,NCBI468,Skin,,Diseased,Visium,Diseased_Unspecified
37,MEND49,Kidney,,Healthy,Visium,Healthy
38,NCBI708,Kidney,,Diseased,Visium,Diseased_Unspecified
39,TENX141,Lung,LUNG,Cancer,Xenium,LUNG
40,MISC43,Bowel,COAD,Cancer,Visium,COAD
41,MEND162,Prostate,PRAD,Cancer,Visium,PRAD
42,MEND16,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
43,SPA123,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
44,SPA2,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
45,SPA135,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
46,TENX117,Skin,SKCM,Cancer,Xenium,SKCM
47,SPA105,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
48,MISC29,Lung,,Treated,Visium,Treated_Unspecified
49,NCBI771,Eye,ACYC,Cancer,Visium,ACYC
50,SPA149,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
51,SPA93,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
52,SPA69,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
53,INT26,Prostate,PRAD,Cancer,Visium,PRAD
54,SPA102,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
55,SPA43,Heart,,Healthy,Spatial Transcriptomics,Healthy
56,NCBI637,Brain,EPM,Cancer,Visium,EPM
57,NCBI861,Lung,,Diseased,Xenium,Diseased_Unspecified
58,NCBI833,Liver,,Diseased,Visium,Diseased_Unspecified
59,NCBI714,Kidney,,Healthy,Visium,Healthy
60,SPA111,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
61,TENX105,Kidney,PRCC,Cancer,Xenium,PRCC
62,SPA121,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
63,MEND4,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
64,NCBI539,Kidney,,Treated,Visium,Treated_Unspecified
65,NCBI3,Cervix,,Diseased,Visium,Diseased_Unspecified
66,TENX72,Lung,LNET,Cancer,Visium,LNET
67,TENX71,Kidney,,Healthy,Visium,Healthy
68,SPA75,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
69,TENX106,Kidney,,Healthy,Xenium,Healthy
70,SPA72,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
71,SPA46,Heart,,Healthy,Spatial Transcriptomics,Healthy
72,SPA54,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
73,NCBI506,Skin,,Diseased,Visium,Diseased_Unspecified
74,MISC19,Lung,,Treated,Visium,Treated_Unspecified
75,NCBI505,Skin,,Diseased,Visium,Diseased_Unspecified
76,TENX29,Bowel,COAD,Cancer,Visium,COAD
77,MEND18,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
78,NCBI713,Kidney,,Healthy,Visium,Healthy
79,ZEN37,Bowel,,Healthy,Visium,Healthy
80,NCBI520,Skin,,Diseased,Visium,Diseased_Unspecified
81,SPA83,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
82,MISC40,Bowel,COAD,Cancer,Visium,COAD
83,NCBI480,Skin,,Diseased,Visium,Diseased_Unspecified
84,MISC123,Heart,,Healthy,Visium,Healthy
85,NCBI574,Uterus,,Diseased,Visium,Diseased_Unspecified
86,TENX126,Pancreas,PAAD,Cancer,Xenium,PAAD
87,MISC101,Heart,,Healthy,Visium,Healthy
88,MISC21,Lung,,Treated,Visium,Treated_Unspecified
89,NCBI860,Lung,,Diseased,Xenium,Diseased_Unspecified
90,NCBI463,Skin,,Diseased,Visium,Diseased_Unspecified
91,MISC120,Heart,,Healthy,Visium,Healthy
92,SPA100,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
93,NCBI575,Uterus,,Healthy,Visium,Healthy
94,NCBI855,Bladder,BLCA,Cancer,Visium,BLCA
95,INT13,Kidney,CCRCC,Cancer,Visium,CCRCC
96,MEND54,Kidney,,Healthy,Visium,Healthy
97,MEND24,Prostate,,Cancer,Spatial Transcriptomics,Cancer_Unspecified
98,SPA51,Breast,IDC,Cancer,Spatial Transcriptomics,IDC
99,NCBI879,Lung,,Healthy,Xenium,Healthy
